category,index,source_name_en,current_name_es,flag_reason,correction
spells,alarm,Alarm,Alarma,field_bleed:material:index:,
spells,animal-friendship,Animal Friendship,Amistad con los animales,name_ungrounded:not_found_in_manual; confidence:low,
spells,charm-person,Charm Person,Encantar persona,name_ungrounded:not_found_in_manual,
spells,color-spray,Color Spray,Ráfaga de colores,name_ungrounded:not_found_in_manual; confidence:low,
spells,command,Command,Comando,name_ungrounded:not_found_in_manual,
spells,comprehend-languages,Comprehend Languages,Comprender idiomas,name_ungrounded:not_found_in_manual; confidence:low,
spells,expeditious-retreat,Expeditious Retreat,Retirada Expedita,name_ungrounded:not_found_in_manual,
spells,false-life,False Life,Vida Falsa,name_ungrounded:not_found_in_manual; confidence:low,
spells,fog-cloud,Fog Cloud,Nube de niebla,name_ungrounded:not_found_in_manual,
spells,goodberry,Goodberry,Baya de buen sabor,name_ungrounded:not_found_in_manual,
spells,guiding-bolt,Guiding Bolt,Guía de luz,name_ungrounded:not_found_in_manual; confidence:low,
spells,hellish-rebuke,Hellish Rebuke,Reprimenda infernal,name_ungrounded:not_found_in_manual; confidence:low,
spells,hideous-laughter,Hideous Laughter,Risa Atroz,name_ungrounded:not_found_in_manual,
spells,illusory-script,Illusory Script,Escritura Ilusoria,name_ungrounded:not_found_in_manual,
spells,inflict-wounds,Inflict Wounds,Heridas Infligidas,name_ungrounded:not_found_in_manual,
spells,longstrider,Longstrider,Zancada larga,name_ungrounded:not_found_in_manual; confidence:low,
spells,thunderwave,Thunderwave,Onda de trueno,name_ungrounded:not_found_in_manual,
spells,aid,Aid,Ayuda,confidence:low,
spells,arcane-lock,Arcane Lock,Bloqueo Arcano,name_ungrounded:not_found_in_manual,
spells,arcanists-magic-aura,Arcanist's Magic Aura,Aura Mágica del Arcanista,name_ungrounded:not_found_in_manual; confidence:low,
spells,barkskin,Barkskin,Piel de corteza,name_ungrounded:not_found_in_manual,
spells,blindness-deafness,Blindness/Deafness,Ceguera/Ensordecimiento,name_ungrounded:not_found_in_manual,
spells,blur,Blur,Borrosidad,name_ungrounded:not_found_in_manual,
spells,branding-smite,Branding Smite,Castigo de marca,name_ungrounded:not_found_in_manual; confidence:low,
spells,continual-flame,Continual Flame,Llama continua,name_ungrounded:not_found_in_manual; confidence:low,
spells,enhance-ability,Enhance Ability,Mejorar capacidad,name_ungrounded:not_found_in_manual; confidence:low,
spells,enlarge-reduce,Enlarge/Reduce,Engrandecer/Reducir,name_ungrounded:not_found_in_manual; confidence:low,
spells,enthrall,Enthrall,Fascinar,name_ungrounded:not_found_in_manual; confidence:low,
spells,find-steed,Find Steed,Encontrar montura,name_ungrounded:not_found_in_manual,
spells,find-traps,Find Traps,Encontrar trampas,name_ungrounded:not_found_in_manual; confidence:low,
spells,gentle-repose,Gentle Repose,Reposo tranquilo,name_ungrounded:not_found_in_manual; confidence:low,
spells,hold-person,Hold Person,Inmovilizar persona,confidence:low,
spells,lesser-restoration,Lesser Restoration,Restauración Menor,name_ungrounded:not_found_in_manual,
spells,mirror-image,Mirror Image,Imagen Espejada,name_ungrounded:not_found_in_manual; confidence:low,
spells,prayer-of-healing,Prayer of Healing,Oración de sanación,name_ungrounded:not_found_in_manual,
spells,ray-of-enfeeblement,Ray of Enfeeblement,Rayo debilitador,confidence:low,
spells,shatter,Shatter,Fragmentación,name_ungrounded:not_found_in_manual; confidence:low,
spells,spider-climb,Spider Climb,Trepar cual arácnido,confidence:low,
spells,spike-growth,Spike Growth,Crecimiento de Espinas,name_ungrounded:not_found_in_manual; confidence:low,
spells,flame-blade,Flame Blade,Hoja de Fuego,confidence:low,
spells,animate-dead,Animate Dead,Animar muertos,name_ungrounded:not_found_in_manual; confidence:low,
spells,beacon-of-hope,Beacon of Hope,Faro de Esperanza,name_ungrounded:not_found_in_manual; confidence:low,
spells,blink,Blink,Parpadeo,name_ungrounded:not_found_in_manual,
spells,call-lightning,Call Lightning,Llamar al relámpago,confidence:low,
spells,glyph-of-warding,Glyph of Warding,Glifo de protección,name_ungrounded:not_found_in_manual; confidence:low,
spells,haste,Haste,Velocidad,confidence:low,
spells,nondetection,Nondetection,No detección,name_ungrounded:not_found_in_manual; confidence:low,
spells,plant-growth,Plant Growth,Crecimiento de Plantas,name_ungrounded:not_found_in_manual; confidence:low,
spells,remove-curse,Remove Curse,Quitar maldición,name_ungrounded:not_found_in_manual; confidence:low,
spells,slow,Slow,Lentitud,name_ungrounded:not_found_in_manual; confidence:low,
spells,stinking-cloud,Stinking Cloud,Nube pestilente,name_ungrounded:not_found_in_manual; confidence:low,
spells,tiny-hut,Tiny Hut,Cabaña diminuta,name_ungrounded:not_found_in_manual; confidence:low,
spells,vampiric-touch,Vampiric Touch,Toque vampírico,dice_notation:missing:1d6,
spells,black-tentacles,Black Tentacles,Tentáculos negros,confidence:low,
spells,control-water,Control Water,Controlar el agua,name_ungrounded:not_found_in_manual,
spells,death-ward,Death Ward,Protección contra la muerte,name_ungrounded:not_found_in_manual; confidence:low,
spells,faithful-hound,Faithful Hound,Perro fiel,name_ungrounded:not_found_in_manual; confidence:low,
spells,greater-invisibility,Greater Invisibility,Invisibilidad mayor,name_ungrounded:not_found_in_manual; confidence:low,
spells,phantasmal-killer,Phantasmal Killer,Asesino Fantasmal,dice_notation:missing:1d10,
spells,polymorph,Polymorph,Polimorfar,confidence:low,
spells,private-sanctum,Private Sanctum,Santuario Privado,name_ungrounded:not_found_in_manual; confidence:low,
spells,resilient-sphere,Resilient Sphere,Esfera resiliente,name_ungrounded:not_found_in_manual; confidence:low,
spells,secret-chest,Secret Chest,Cofre Secreto,name_ungrounded:not_found_in_manual; confidence:low,
spells,stone-shape,Stone Shape,Dar forma a la piedra,name_ungrounded:not_found_in_manual; confidence:low,
spells,stoneskin,Stoneskin,Piel de Piedra,name_ungrounded:not_found_in_manual; confidence:low,
spells,wall-of-fire,Wall of Fire,Muro de fuego,bullet_structure:paragraph_count_src3_vs_out2,
spells,arcane-hand,Arcane Hand,Mano arcana,name_ungrounded:not_found_in_manual,
spells,cloudkill,Cloudkill,Nube asesina,name_ungrounded:not_found_in_manual,
spells,flame-strike,Flame Strike,Golpe de llamas,name_ungrounded:not_found_in_manual; confidence:low,
spells,greater-restoration,Greater Restoration,Restauración Mayor,name_ungrounded:not_found_in_manual,
spells,mislead,Mislead,Engañar,confidence:low,
spells,modify-memory,Modify Memory,Modificar memoria,name_ungrounded:not_found_in_manual; confidence:low,
spells,passwall,Passwall,Pasar por muros,name_ungrounded:not_found_in_manual; confidence:low,
spells,planar-binding,Planar Binding,Atadura planar,confidence:low,
spells,scrying,Scrying,Visión a Distancia,name_ungrounded:not_found_in_manual,
spells,seeming,Seeming,Apariencia,confidence:low,
spells,telekinesis,Telekinesis,Telequinesis,"leftover_english:the,your",
spells,tree-stride,Tree Stride,Zancada Arbórea,name_ungrounded:not_found_in_manual; confidence:low,
spells,conjure-fey,Conjure Fey,Conjurar fey,name_ungrounded:not_found_in_manual,
spells,eyebite,Eyebite,Mordisco ocular,name_ungrounded:not_found_in_manual; confidence:low,
spells,flesh-to-stone,Flesh to Stone,Piel a Piedra,name_ungrounded:not_found_in_manual; confidence:low,
spells,freezing-sphere,Freezing Sphere,Esfera congelante de Otiluke,confidence:low,
spells,guards-and-wards,Guards and Wards,Guardias y protecciones,name_ungrounded:not_found_in_manual; confidence:low; leftover_english:and,
spells,heal,Heal,Curar heridas,confidence:low,
spells,heroes-feast,Heroes' Feast,Banquete de héroes,name_ungrounded:not_found_in_manual; confidence:low,
spells,instant-summons,Instant Summons,Convocatoria instantánea,name_ungrounded:not_found_in_manual,
spells,irresistible-dance,Irresistible Dance,Danza Irresistible,name_ungrounded:not_found_in_manual; confidence:low,
spells,magic-jar,Magic Jar,Tarro Mágico,name_ungrounded:not_found_in_manual,
spells,mass-suggestion,Mass Suggestion,Sugerencia en masa,name_ungrounded:not_found_in_manual,
spells,sunbeam,Sunbeam,Rayo de sol,name_ungrounded:not_found_in_manual; confidence:low,
spells,transport-via-plants,Transport via Plants,Transportar por plantas,name_ungrounded:not_found_in_manual; confidence:low,
spells,wind-walk,Wind Walk,Caminata eólica,name_ungrounded:not_found_in_manual; confidence:low,
spells,word-of-recall,Word of Recall,Palabra de Evocación,name_ungrounded:not_found_in_manual; confidence:low,
spells,arcane-sword,Arcane Sword,Espada arcana,name_ungrounded:not_found_in_manual; confidence:low,
spells,etherealness,Etherealness,Eterealidad,name_ungrounded:not_found_in_manual,
spells,plane-shift,Plane Shift,Cambio de Plano,name_ungrounded:not_found_in_manual; confidence:low,
spells,reverse-gravity,Reverse Gravity,Gravedad Inversa,name_ungrounded:not_found_in_manual,
spells,sequester,Sequester,Aislamiento,name_ungrounded:not_found_in_manual; confidence:low,
spells,teleport,Teleport,Teletransporte,bullet_structure:paragraph_count_src21_vs_out13,
spells,animal-shapes,Animal Shapes,Formas Animales,name_ungrounded:not_found_in_manual; confidence:low,
spells,demiplane,Demiplane,Semiplano,confidence:low,
spells,glibness,Glibness,Verborragia,name_ungrounded:not_found_in_manual; confidence:low,
spells,holy-aura,Holy Aura,Aura Sagrada,confidence:low,
spells,sunburst,Sunburst,Estallido solar,name_ungrounded:not_found_in_manual; confidence:low,
spells,foresight,Foresight,Visión de futuro,name_ungrounded:not_found_in_manual; confidence:low,
spells,imprisonment,Imprisonment,Encarcelamiento,name_ungrounded:not_found_in_manual,
spells,meteor-swarm,Meteor Swarm,Enjambre de meteoros,name_ungrounded:not_found_in_manual; confidence:low,
spells,shapechange,Shapechange,Cambiar forma,name_ungrounded:not_found_in_manual; confidence:low,
spells,storm-of-vengeance,Storm of Vengeance,Tormenta de venganza,name_ungrounded:not_found_in_manual,
spells,true-polymorph,True Polymorph,Polimorfismo verdadero,name_ungrounded:not_found_in_manual,
spells,weird,Weird,Extraño,confidence:low,
equipment,greataxe,Greataxe,Gran hacha,name_ungrounded:not_found_in_manual; confidence:low,
equipment,morningstar,Morningstar,Maza de pinchos,name_ungrounded:not_found_in_manual; confidence:low,
equipment,ring-mail,Ring Mail,Cota de anillos,name_ungrounded:not_found_in_manual; confidence:low,
equipment,abacus,Abacus,Ábaco,name_ungrounded:not_found_in_manual,
equipment,acid-vial,Acid (vial),Ácido (vial),name_ungrounded:not_found_in_manual,
equipment,alchemists-fire-flask,Alchemist's fire (flask),Fuego de alquimista (frasco),name_ungrounded:not_found_in_manual,
equipment,alms-box,Alms box,Caja de limosnas,name_ungrounded:not_found_in_manual; confidence:low,
equipment,block-of-incense,Block of incense,Bloque de incienso,name_ungrounded:not_found_in_manual,
equipment,blowgun-needle,Blowgun needle,Aguja de cerbatana,name_ungrounded:not_found_in_manual,
equipment,censer,Censer,Incensario,name_ungrounded:not_found_in_manual,
equipment,antitoxin-vial,Antitoxin (vial),Antitoxina (vial),name_ungrounded:not_found_in_manual,
equipment,orb,Orb,Orbe,confidence:low,
equipment,rod,Rod,Vara,confidence:low,
equipment,staff,Staff,Bastón,confidence:low,
equipment,wand,Wand,Varita,confidence:low,
equipment,ball-bearings-bag-of-1000,"Ball bearings (bag of 1,000)",Bolas de metal (bolsa de 1.000),name_ungrounded:not_found_in_manual,
equipment,bedroll,Bedroll,Saco de dormir,name_ungrounded:not_found_in_manual; confidence:low,
equipment,bottle-glass,"Bottle, glass","Botella, de vidrio",name_ungrounded:not_found_in_manual; confidence:low,
equipment,caltrops,Caltrops,Estravesados,name_ungrounded:not_found_in_manual; confidence:low,
equipment,chain-10-feet,Chain (10 feet),Cadena (3 m),name_ungrounded:not_found_in_manual,
equipment,chalk-1-piece,Chalk (1 piece),Tiza (1 pieza),name_ungrounded:not_found_in_manual,
equipment,clothes-common,"Clothes, common",Ropa común,name_ungrounded:not_found_in_manual,
equipment,clothes-costume,"Clothes, costume","Ropa, disfraz",name_ungrounded:not_found_in_manual,
equipment,clothes-travelers,"Clothes, traveler's",Ropa de viajero,name_ungrounded:not_found_in_manual; confidence:low,
equipment,component-pouch,Component pouch,Bolsa de componentes,name_ungrounded:not_found_in_manual; confidence:low,
equipment,sprig-of-mistletoe,Sprig of mistletoe,Rama de muérdago,confidence:low,
equipment,totem,Totem,Tótem,name_ungrounded:not_found_in_manual; confidence:low,
equipment,wooden-staff,Wooden staff,Bastón de madera,confidence:low,
equipment,yew-wand,Yew wand,Varita de tejo,confidence:low,
equipment,fishing-tackle,Fishing tackle,Equipo de pesca,name_ungrounded:not_found_in_manual; confidence:low,
equipment,flask-or-tankard,Flask or tankard,Frasco o jarra,name_ungrounded:not_found_in_manual,
equipment,grappling-hook,Grappling hook,Gancho de escalada,name_ungrounded:not_found_in_manual; confidence:low,
equipment,hammer-sledge,"Hammer, sledge","Martillo, mazo",name_ungrounded:not_found_in_manual; confidence:low,
equipment,holy-water-flask,Holy water (flask),Agua bendita (frasco),name_ungrounded:not_found_in_manual; confidence:low,
equipment,hourglass,Hourglass,Reloj de arena,name_ungrounded:not_found_in_manual,
equipment,hunting-trap,Hunting trap,Trampa de caza,name_ungrounded:not_found_in_manual,
equipment,ink-1-ounce-bottle,Ink (1 ounce bottle),Tinta (frasco de 1 onza),name_ungrounded:not_found_in_manual,
equipment,ink-pen,Ink pen,Pluma de tinta,name_ungrounded:not_found_in_manual; confidence:low,
equipment,jug-or-pitcher,Jug or pitcher,Jarra o cántaro,name_ungrounded:not_found_in_manual,
equipment,climbers-kit,Climber's Kit,Kit de escalador,name_ungrounded:not_found_in_manual; confidence:low,
equipment,disguise-kit,Disguise Kit,Kit de disfraz,name_ungrounded:not_found_in_manual; confidence:low,
